03-19 09:31:45: Training starting...
03-19 09:31:45: New best reward 25.0 (-100.0%) at episode 0, saving model...
03-19 09:31:45: New best reward 37.0 (+48.0%) at episode 8, saving model...
03-19 09:31:45: New best reward 46.0 (+24.3%) at episode 15, saving model...
03-19 09:31:45: New best reward 53.0 (+15.2%) at episode 30, saving model...
03-19 09:31:45: New best reward 73.0 (+37.7%) at episode 162, saving model...
03-19 09:31:46: New best reward 86.0 (+17.8%) at episode 243, saving model...
03-19 09:31:46: New best reward 95.0 (+10.5%) at episode 244, saving model...
03-19 09:31:46: New best reward 122.0 (+28.4%) at episode 431, saving model...
03-19 09:31:46: New best reward 151.0 (+23.8%) at episode 586, saving model...
03-19 09:31:47: New best reward 186.0 (+23.2%) at episode 707, saving model...
03-19 09:31:47: New best reward 191.0 (+2.7%) at episode 709, saving model...
03-19 09:31:48: New best reward 214.0 (+12.0%) at episode 947, saving model...
03-19 09:31:48: New best reward 225.0 (+5.1%) at episode 964, saving model...
03-19 09:31:49: New best reward 246.0 (+9.3%) at episode 1118, saving model...
03-19 09:31:50: New best reward 400.0 (+62.6%) at episode 1261, saving model...
